,alpha,decay,values,total_error,mean_reward,is_optimal_policy
1,0.01,50,"[ 0.          0.32773102  0.12252499 -0.01612701  0.74323527  0.57976569
  0.         -0.07455565  0.94458967  0.59566672  0.24815394  0.08781066
  0.          0.          0.         -0.10620321]",0.24878199792479014,-0.049172000000000035,True
2,0.01,100,"[ 0.          0.26003214  0.09258081 -0.07106719  0.75897623  0.57873129
  0.         -0.04297449  0.95318104  0.60394047  0.18588099  0.10961417
  0.          0.          0.         -0.08094796]",0.258255626129621,-0.06944800000000004,False
0,0.01,10,"[ 0.          0.26084025  0.06951349 -0.04549617  0.73397466  0.58092806
  0.         -0.13876645  0.95078726  0.617321    0.16015891  0.08272502
  0.          0.          0.         -0.06095566]",0.2665809833731989,-0.1596520000000001,False
3,0.01,500,"[ 0.          0.25498983  0.04303307 -0.07785318  0.72328247  0.54043173
  0.         -0.11860822  0.92577026  0.54320284  0.27778228  0.10079005
  0.          0.          0.         -0.13714544]",0.44746896197215263,-0.21350800000000003,True
7,0.05,50,"[ 0.          0.36622432  0.0649389   0.06004166  0.75941134  0.61765997
  0.         -0.11264207  0.90632022  0.51728283  0.12469902  0.04992129
  0.          0.          0.         -0.13025916]",0.45307627445428283,-0.010748000000000032,False
6,0.05,10,"[ 0.          0.31831931  0.03728473  0.01241607  0.79838735  0.61449671
  0.         -0.10248715  0.93993559  0.52651907  0.28726222  0.06582776
  0.          0.          0.         -0.21844833]",0.500121172620832,-0.005748000000000067,False
8,0.05,100,"[ 0.          0.25489647  0.06224268  0.00604343  0.75165289  0.52798305
  0.         -0.18379084  0.92903503  0.48366736  0.04841573 -0.03266231
  0.          0.          0.         -0.11116925]",0.5770615908660272,-0.04880400000000003,False
15,0.1,500,"[ 0.          0.40165416  0.20985837  0.03281811  0.75397477  0.57869199
  0.         -0.15339426  0.87265542  0.66498521  0.36958989  0.02640216
  0.          0.          0.         -0.26036111]",0.9002702821548612,-0.2800480000000001,False
14,0.1,100,"[ 0.          0.44310502 -0.06247659 -0.09776742  0.76658597  0.60818872
  0.         -0.14865703  0.91477912  0.50213111  0.12377277 -0.050597
  0.          0.          0.         -0.20970192]",0.9323966691938834,-0.09381200000000006,False
13,0.1,50,"[ 0.          0.14494792 -0.06918029 -0.16415206  0.74752004  0.57661764
  0.         -0.23452279  0.8663875   0.43525068  0.17865406  0.02962004
  0.          0.          0.         -0.16657318]",0.9597058023023128,-0.12304800000000007,False
9,0.05,500,"[ 0.          0.02361679 -0.11853546 -0.08418808  0.73219999  0.49230034
  0.         -0.09127624  0.93435623  0.4965147   0.07209782 -0.0188982
  0.          0.          0.         -0.07927359]",0.9672509528776232,-0.22891599999999998,True
12,0.1,10,"[ 0.          0.10831229  0.09416686 -0.02304036  0.77532227  0.55889033
  0.         -0.17403732  0.97011886  0.40829459 -0.03355239 -0.12500821
  0.          0.          0.         -0.21798121]",1.1377302459353695,-0.033292000000000065,False
4,0.01,1000,"[ 0.          0.17788784 -0.04849903 -0.15542057  0.70729128  0.48561085
  0.         -0.21792528  0.93579121  0.46359545  0.00994154 -0.09156353
  0.          0.          0.         -0.21297494]",1.2638476005539523,-0.36988800000000005,True
10,0.05,1000,"[ 0.          0.1590663   0.01179381 -0.07486866  0.6389244   0.44798957
  0.         -0.28967117  0.91643162  0.55179982  0.04161505 -0.18483619
  0.          0.          0.         -0.2666041 ]",1.3503595676518279,-0.35628000000000004,False
5,0.01,1500,"[ 0.          0.08968882 -0.15536328 -0.24685517  0.63884235  0.4258802
  0.         -0.22592616  0.94227901  0.46867655  0.08365897 -0.03470768
  0.          0.          0.         -0.2383506 ]",1.5827350177051693,-0.484696,True
11,0.05,1500,"[ 0.         -0.00871576 -0.15316704 -0.20584889  0.64378821  0.39602574
  0.         -0.23892118  0.86316475  0.48898571  0.20164632 -0.11461956
  0.          0.          0.         -0.20581433]",1.6627686726811755,-0.485896,False
16,0.1,1000,"[ 0.         -0.09083523 -0.01266281 -0.102367    0.68609162  0.47352367
  0.         -0.24008317  0.85412989  0.36193751  0.12366732 -0.06851461
  0.          0.          0.         -0.36216105]",1.6792738755119443,-0.43018,False
18,0.5,10,"[ 0.         -0.32008933 -0.37193402 -0.39653921  0.84385819  0.68990353
  0.         -0.40742989  0.99773945  0.53762012  0.1823733  -0.25317918
  0.          0.          0.         -0.25325387]",2.613933237954045,-3.3605639999999983,False
20,0.5,100,"[ 0.         -0.2439491  -0.18042476 -0.21615134  0.69693741  0.3754335
  0.         -0.19304285  0.94724486  0.27673513 -0.42816563 -0.04006459
  0.          0.          0.         -0.28493151]",2.6308686025130505,-1.9025079999999943,False
19,0.5,50,"[ 0.          0.20245427 -0.35241324 -0.3590904   0.66656673  0.5594806
  0.         -0.60222403  0.82356702  0.53772599 -0.03348006 -0.48034614
  0.          0.          0.         -0.4735909 ]",2.8133501511158334,-2.3639919999999877,False
17,0.1,1500,"[ 0.         -0.02212678 -0.19780653 -0.26906311  0.65311793  0.49060304
  0.         -0.36924596  0.92597886  0.2624149  -0.39001541 -0.3605733
  0.          0.          0.         -0.3884001 ]",2.967116469203069,-0.576904,False
